id;task_name;task_description;image_url;is_completed;user_id;question_id
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;Gloves Washington;true;60032;17396
2;methodologies;deposit;morph Rubber;true;28189;79438
3;Architect;Stream circuit PNG;Usability Wisconsin Pakistan Rupee;false;5627;77240
4;Home Officer hacking;back up Pa'anga copying;back-end optical;false;46099;67423
5;driver Gorgeous Soft Car Applications;interface;Checking Account integrate Re-contextualized;false;22898;84490
6;Industrial ADP Western Sahara;multi-tasking;real-time navigate Applications;true;19018;17359
7;Gibraltar Pound Personal Loan Account index;withdrawal Rustic Expanded;Hat withdrawal;true;10695;82622
8;compressing Connecticut;parse Micronesia;deposit Vision-oriented;true;38586;67369
9;initiatives;Shirt;navigate;true;14341;28945
10;Qatar;card Paradigm magenta;homogeneous;true;84304;27581
